No.,Ticker,Company,Sector,Industry,Country,Market Cap,Dividend,Dividend.1,Volume,Price
1,IEP,Icahn Enterprises L P,Energy,Oil & Gas Refining & Marketing,USA,4.86B,2.0,23.61%,425823,8.47
2,BRSL,Brightstar Lottery PLC,Consumer Cyclical,Gambling,United Kingdom,3.15B,3.8,22.84%,1233513,16.64
3,IX,Orix Corporation ADR,Financial,Financial Conglomerates,Japan,29.35B,4.84,18.68%,189881,25.92
4,CLM,Cornerstone Strategic Investment Fund Inc,Financial,Closed-End Fund - Equity,USA,2.05B,1.41,17.37%,1541915,8.13
5,ADX,Adams Diversified Equity Fund,Financial,Closed-End Fund - Equity,USA,2.61B,3.35,15.44%,278419,21.69
6,PPC,Pilgrim's Pride Corp,Consumer Defensive,Packaged Foods,USA,10.56B,6.83,15.36%,1092715,44.45
7,AGNC,AGNC Investment Corp,Real Estate,REIT - Mortgage,USA,10.17B,1.44,14.75%,13958021,9.76
8,GOF,Guggenheim Strategic Opportunities Fund,Financial,Closed-End Fund - Debt,USA,2.62B,2.18,14.63%,1076200,14.93
9,FSK,FS KKR Capital Corp,Financial,Asset Management,USA,5.11B,2.61,14.33%,1365777,18.24
10,PDI,PIMCO Dynamic Income Fund,Financial,Closed-End Fund - Debt,USA,7.44B,2.64,13.44%,2210208,19.65
11,NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage,USA,13.61B,2.8,13.21%,4996801,21.19
12,EC,Ecopetrol SA ADR,Energy,Oil & Gas Integrated,Colombia,19.32B,1.19,12.69%,1472459,9.4
13,ASR,Grupo Aeroportuario Del Sureste S.A. ADR,Industrials,Airports & Air Services,Mexico,9.02B,38.58,11.84%,93700,325.71
14,PBR-A,Petroleo Brasileiro S.A. Petrobras ADR,Energy,Oil & Gas Integrated,Brazil,30.34B,1.33,11.63%,6379880,11.47
15,ARLP,"Alliance Resource Partners, LP",Energy,Thermal Coal,USA,2.96B,2.6,11.30%,874087,23.01
16,AMBP,Ardagh Metal Packaging S.A,Consumer Cyclical,Packaging & Containers,Luxembourg,2.21B,0.41,11.13%,688934,3.69
17,BWLP,BW LPG Limited,Industrials,Marine Shipping,Singapore,2.36B,1.7,10.92%,422821,15.57
18,BSM,Black Stone Minerals L.P,Energy,Oil & Gas E&P,USA,2.58B,1.32,10.88%,1461364,12.16
19,GBDC,Golub Capital BDC Inc,Financial,Asset Management,USA,3.97B,1.56,10.44%,1087237,14.92
20,WU,Western Union Company,Financial,Credit Services,USA,2.80B,0.9,10.42%,10561926,8.67
1,IEP,Icahn Enterprises L P,Energy,Oil & Gas Refining & Marketing,USA,4.86B,2.0,23.61%,425823,8.47
